Knee Angle,Ankle Angle,Hip Angle,Initial Contact,Loading Response,Mid Stance,Terminal Stance,Pre Swing
179.79478869440345,179.79478869440345,0.10615695309979609,,,,,
179.06506903911665,179.06506903911665,0.48922593270099657,179.06506903911665,,,,
178.89925413192708,178.89925413192708,0.5789880705414095,178.89925413192708,,,,
178.5009388192405,178.5009388192405,0.7886034886386657,178.5009388192405,,,,
178.41534700797428,178.41534700797428,0.8329217057672946,178.41534700797428,,,,
178.36674351753857,178.36674351753857,0.8588234197076368,178.36674351753857,,,,
178.25468052907496,178.25468052907496,0.9178816543015772,178.25468052907496,,,,
178.12506368331967,178.12506368331967,0.98757662256588,178.12506368331967,,,,
178.1765801216788,178.1765801216788,0.9587730400262688,178.1765801216788,,,,
178.10414633166278,178.10414633166278,0.9963287725320684,178.10414633166278,,,,
178.17356494277146,178.17356494277146,0.9597847592456995,178.17356494277146,,,,
178.29430318791617,178.29430318791617,0.8974524022735562,178.29430318791617,,,,
178.38872914764926,178.38872914764926,0.8469104611038727,178.38872914764926,,,,
178.41597874405875,178.41597874405875,0.8320170372202544,178.41597874405875,,,,
178.1575066475221,178.1575066475221,0.967190305499458,178.1575066475221,,,,
178.1486952443307,178.1486952443307,0.9715216828921055,178.1486952443307,,,,
178.14797996993894,178.14797996993894,0.972145377070901,178.14797996993894,,,,
178.16088195082204,178.16088195082204,0.9654875898561249,178.16088195082204,,,,
178.02650459529764,178.02650459529764,1.0363399895370744,178.02650459529764,,,,
177.7771412935931,177.7771412935931,1.1676439322547267,177.7771412935931,,,,
177.7260753621026,177.7260753621026,1.1949070801803048,177.7260753621026,,,,
177.6870364627071,177.6870364627071,1.2154603772096064,177.6870364627071,,,,
177.59219470218164,177.59219470218164,1.2653269464407115,177.59219470218164,,,,
177.5784371825427,177.5784371825427,1.273115898892695,177.5784371825427,,,,
177.64319493609463,177.64319493609463,1.2371960545091218,177.64319493609463,,,,
177.68813413298486,177.68813413298486,1.2124401139155916,177.68813413298486,,,,
177.8839202424565,177.8839202424565,1.109935135223348,177.8839202424565,,,,
177.94268537571332,177.94268537571332,1.0792464433992692,177.94268537571332,,,,
177.98381661714217,177.98381661714217,1.0580410818216772,177.98381661714217,,,,
178.00401971064537,178.00401971064537,1.0476149168175302,178.00401971064537,,,,
178.10286387544645,178.10286387544645,0.9944279310723849,178.10286387544645,,,,
178.48798372376336,178.48798372376336,0.7921840614691353,178.48798372376336,,,,
178.8479183123123,178.8479183123123,0.6009026568984871,178.8479183123123,,,,
179.03676793974296,179.03676793974296,0.5016860736166041,179.03676793974296,,,,
179.02761478931853,179.02761478931853,0.506644788801841,179.02761478931853,,,,
179.0265788184167,179.0265788184167,0.5072779420269677,179.0265788184167,,,,
179.0798322499998,179.0798322499998,0.47937398092433825,179.0798322499998,,,,
179.11976349556417,179.11976349556417,0.45841770289318623,179.11976349556417,,,,
178.78961511898393,178.78961511898393,0.6299270122410292,178.78961511898393,,,,
178.1340678340328,178.1340678340328,0.9712228718888778,178.1340678340328,,,,
177.9512065559116,177.9512065559116,1.0662818961709482,177.9512065559116,,,,
178.1650536248393,178.1650536248393,0.9547491178439124,178.1650536248393,,,,
178.26913894677972,178.26913894677972,0.9004387832600076,178.26913894677972,,,,
178.28827019456392,178.28827019456392,0.8912822541838437,178.28827019456392,,,,
178.30989448141275,178.30989448141275,0.8804894652703636,178.30989448141275,,,,
178.46075432422538,178.46075432422538,0.8015714592475021,178.46075432422538,,,,
178.86903035514018,178.86903035514018,0.5887713812372969,178.86903035514018,,,,
178.72741549691997,178.72741549691997,0.6635514834164614,178.72741549691997,,,,
178.6088202559294,178.6088202559294,0.7260253463040227,178.6088202559294,,,,
178.6697105910315,178.6697105910315,0.693087111879402,178.6697105910315,,,,
178.79711262553798,178.79711262553798,0.6261158550971957,178.79711262553798,,,,
178.57595696034247,178.57595696034247,0.7416040556827392,178.57595696034247,,,,
178.42200279929972,178.42200279929972,0.8223528979911547,178.42200279929972,,,,
178.4378391264953,178.4378391264953,0.8128680353606551,178.4378391264953,,,,
178.50791828885943,178.50791828885943,0.7763238193301842,178.50791828885943,,,,
178.58495195310482,178.58495195310482,0.7362403968705583,178.58495195310482,,,,
178.73876659514536,178.73876659514536,1.0038337521676512,178.73876659514536,,,,
178.8490030569002,178.8490030569002,0.70629722653756,178.8490030569002,,,,
179.3846786664286,179.3846786664286,0.8039336860954834,179.3846786664286,,,,
179.17930457601778,179.17930457601778,0.5828503422919109,179.17930457601778,,,,
179.10224504278128,179.10224504278128,0.4560882182843929,179.10224504278128,,,,
179.80693151499793,179.80693151499793,0.791721645935072,179.80693151499793,,,,
180.0171990396346,180.0171990396346,0.7378824790821441,180.0171990396346,,,,
181.6620921867207,181.6620921867207,1.337734083317832,181.6620921867207,,,,
181.33670385629287,181.33670385629287,0.6778318828216974,181.33670385629287,,,,
180.09805821234914,180.09805821234914,0.06247377123235937,180.09805821234914,,,,
179.69521119818484,179.69521119818484,0.1785847686764177,179.69521119818484,,,,
179.52997846591225,179.52997846591225,0.2455968607895496,179.52997846591225,,,,
179.6682826093107,179.6682826093107,0.3318769919557061,179.6682826093107,,,,
179.8038419717969,179.8038419717969,0.3887250523397273,179.8038419717969,,,,
179.54639440836706,179.54639440836706,0.502443525856809,179.54639440836706,,,,
179.8004788547366,179.8004788547366,0.5812488059887324,179.8004788547366,,,,
180.08760061989022,180.08760061989022,0.5262216762491219,180.08760061989022,,,,
180.17073137410173,180.17073137410173,0.5229427484829205,180.17073137410173,,,,
